,unix_date,datetime,LTC
0,1574323200,2019-11-21 00:00:00,54.02256194
1,1574323500,2019-11-21 00:05:00,54.02256194
2,1574323800,2019-11-21 00:10:00,54.02255997
3,1574324100,2019-11-21 00:15:00,53.9422405
4,1574324400,2019-11-21 00:20:00,53.68355518
5,1574324700,2019-11-21 00:25:00,53.95195927
6,1574325000,2019-11-21 00:30:00,53.85279592
7,1574325300,2019-11-21 00:35:00,53.74
8,1574325600,2019-11-21 00:40:00,53.552006
9,1574325900,2019-11-21 00:45:00,52.20752192
10,1574326200,2019-11-21 00:50:00,52.60907799
11,1574326500,2019-11-21 00:55:00,52.66836291
12,1574326800,2019-11-21 01:00:00,52.73
13,1574327100,2019-11-21 01:05:00,52.80647189
14,1574327400,2019-11-21 01:10:00,52.86039997
15,1574327700,2019-11-21 01:15:00,52.63
16,1574328000,2019-11-21 01:20:00,52.63
17,1574328300,2019-11-21 01:25:00,52.74609309
18,1574328600,2019-11-21 01:30:00,52.7830223
19,1574328900,2019-11-21 01:35:00,52.7830223
20,1574329200,2019-11-21 01:40:00,52.76
21,1574329500,2019-11-21 01:45:00,52.68
22,1574329800,2019-11-21 01:50:00,52.54251241
23,1574330100,2019-11-21 01:55:00,52.67
24,1574330400,2019-11-21 02:00:00,52.67
25,1574330700,2019-11-21 02:05:00,52.37184386
26,1574331000,2019-11-21 02:10:00,52.37184386
27,1574331300,2019-11-21 02:15:00,52.43559611
28,1574331600,2019-11-21 02:20:00,52.43559611
29,1574331900,2019-11-21 02:25:00,52.39
30,1574332200,2019-11-21 02:30:00,52.34
31,1574332500,2019-11-21 02:35:00,52.44861084
32,1574332800,2019-11-21 02:40:00,52.44861084
33,1574333100,2019-11-21 02:45:00,52.44861084
34,1574333400,2019-11-21 02:50:00,52.34861084
35,1574333700,2019-11-21 02:55:00,52.27
36,1574334000,2019-11-21 03:00:00,52.2334366
37,1574334300,2019-11-21 03:05:00,52.23261236
38,1574334600,2019-11-21 03:10:00,51.56231675
39,1574334900,2019-11-21 03:15:00,52.09514968
40,1574335200,2019-11-21 03:20:00,52.09514971
41,1574335500,2019-11-21 03:25:00,52.09514971
42,1574335800,2019-11-21 03:30:00,52.09514971
43,1574336100,2019-11-21 03:35:00,52.15
44,1574336400,2019-11-21 03:40:00,52.15
45,1574336700,2019-11-21 03:45:00,52.2699634
46,1574337000,2019-11-21 03:50:00,52.22
47,1574337300,2019-11-21 03:55:00,52.1
48,1574337600,2019-11-21 04:00:00,52.306589
49,1574337900,2019-11-21 04:05:00,52.39991935
50,1574338200,2019-11-21 04:10:00,52.33
51,1574338500,2019-11-21 04:15:00,52.2606038
52,1574338800,2019-11-21 04:20:00,52.26
53,1574339100,2019-11-21 04:25:00,52.098638
54,1574339400,2019-11-21 04:30:00,52.18
55,1574339700,2019-11-21 04:35:00,52.18
56,1574340000,2019-11-21 04:40:00,52.15346219
57,1574340300,2019-11-21 04:45:00,52.25389758
58,1574340600,2019-11-21 04:50:00,52.34042846
59,1574340900,2019-11-21 04:55:00,52.55300319
60,1574341200,2019-11-21 05:00:00,52.55300319
61,1574341500,2019-11-21 05:05:00,52.55300319
62,1574341800,2019-11-21 05:10:00,52.46725932
63,1574342100,2019-11-21 05:15:00,52.46725932
64,1574342400,2019-11-21 05:20:00,52.33
65,1574342700,2019-11-21 05:25:00,52.42856387
66,1574343000,2019-11-21 05:30:00,52.42856387
67,1574343300,2019-11-21 05:35:00,52.42856387
68,1574343600,2019-11-21 05:40:00,52.36293328
69,1574343900,2019-11-21 05:45:00,52.36293328
70,1574344200,2019-11-21 05:50:00,52.30895968
71,1574344500,2019-11-21 05:55:00,52.30895968
72,1574344800,2019-11-21 06:00:00,52.30895968
73,1574345100,2019-11-21 06:05:00,52.37786895
74,1574345400,2019-11-21 06:10:00,52.37786895
75,1574345700,2019-11-21 06:15:00,52.2523153
76,1574346000,2019-11-21 06:20:00,52.06003786
77,1574346300,2019-11-21 06:25:00,52.09
78,1574346600,2019-11-21 06:30:00,51.87539785
79,1574346900,2019-11-21 06:35:00,51.87539785
80,1574347200,2019-11-21 06:40:00,51.79598262
81,1574347500,2019-11-21 06:45:00,51.99180464
82,1574347800,2019-11-21 06:50:00,51.99180464
83,1574348100,2019-11-21 06:55:00,51.30124976
84,1574348400,2019-11-21 07:00:00,48.58087502
85,1574348700,2019-11-21 07:05:00,49.90392477
86,1574349000,2019-11-21 07:10:00,50.01
87,1574349300,2019-11-21 07:15:00,49.91
88,1574349600,2019-11-21 07:20:00,50.45238453
89,1574349900,2019-11-21 07:25:00,50.71267366
90,1574350200,2019-11-21 07:30:00,50.40942185
91,1574350500,2019-11-21 07:35:00,50.22181218
92,1574350800,2019-11-21 07:40:00,50.3844885
93,1574351100,2019-11-21 07:45:00,50.30386387
94,1574351400,2019-11-21 07:50:00,50.14755733
95,1574351700,2019-11-21 07:55:00,50.315196
96,1574352000,2019-11-21 08:00:00,50.54755849
97,1574352300,2019-11-21 08:05:00,50.51069243
98,1574352600,2019-11-21 08:10:00,50.38
99,1574352900,2019-11-21 08:15:00,50.38759793
100,1574353200,2019-11-21 08:20:00,50.1548916
101,1574353500,2019-11-21 08:25:00,49.99736381
102,1574353800,2019-11-21 08:30:00,50.19588568
103,1574354100,2019-11-21 08:35:00,50.10810407
104,1574354400,2019-11-21 08:40:00,50.0
105,1574354700,2019-11-21 08:45:00,50.14912297
106,1574355000,2019-11-21 08:50:00,49.9478026
107,1574355300,2019-11-21 08:55:00,49.9478026
108,1574355600,2019-11-21 09:00:00,49.9478026
109,1574355900,2019-11-21 09:05:00,49.95450946
110,1574356200,2019-11-21 09:10:00,49.70075659
111,1574356500,2019-11-21 09:15:00,49.90271541
112,1574356800,2019-11-21 09:20:00,50.02599368
113,1574357100,2019-11-21 09:25:00,50.02599343
114,1574357400,2019-11-21 09:30:00,50.03766177
115,1574357700,2019-11-21 09:35:00,49.9
116,1574358000,2019-11-21 09:40:00,49.81000001
117,1574358300,2019-11-21 09:45:00,49.94552639
118,1574358600,2019-11-21 09:50:00,49.85432358
119,1574358900,2019-11-21 09:55:00,49.65535691
120,1574359200,2019-11-21 10:00:00,49.69
121,1574359500,2019-11-21 10:05:00,50.0727264
122,1574359800,2019-11-21 10:10:00,50.15572424
123,1574360100,2019-11-21 10:15:00,50.11977995
124,1574360400,2019-11-21 10:20:00,50.26515582
125,1574360700,2019-11-21 10:25:00,50.36749795
126,1574361000,2019-11-21 10:30:00,50.21756244
127,1574361300,2019-11-21 10:35:00,50.2300001
128,1574361600,2019-11-21 10:40:00,50.4027573
129,1574361900,2019-11-21 10:45:00,50.31184235
130,1574362200,2019-11-21 10:50:00,50.34
131,1574362500,2019-11-21 10:55:00,50.30329973
132,1574362800,2019-11-21 11:00:00,50.39052957
133,1574363100,2019-11-21 11:05:00,50.39052957
134,1574363400,2019-11-21 11:10:00,50.28
135,1574363700,2019-11-21 11:15:00,50.28
136,1574364000,2019-11-21 11:20:00,50.28
137,1574364300,2019-11-21 11:25:00,50.48413506
138,1574364600,2019-11-21 11:30:00,50.56436648
139,1574364900,2019-11-21 11:35:00,50.56436648
140,1574365200,2019-11-21 11:40:00,50.62030804
141,1574365500,2019-11-21 11:45:00,50.712674
142,1574365800,2019-11-21 11:50:00,50.6376397
143,1574366100,2019-11-21 11:55:00,50.6376397
144,1574366400,2019-11-21 12:00:00,50.83413287
145,1574366700,2019-11-21 12:05:00,50.88104135
146,1574367000,2019-11-21 12:10:00,50.9
147,1574367300,2019-11-21 12:15:00,50.86
148,1574367600,2019-11-21 12:20:00,50.91317497
149,1574367900,2019-11-21 12:25:00,50.8
150,1574368200,2019-11-21 12:30:00,50.8
151,1574368500,2019-11-21 12:35:00,50.54424504
152,1574368800,2019-11-21 12:40:00,50.42265705
153,1574369100,2019-11-21 12:45:00,50.42265705
154,1574369400,2019-11-21 12:50:00,50.42265705
155,1574369700,2019-11-21 12:55:00,50.42265705
156,1574370000,2019-11-21 13:00:00,50.45487328
157,1574370300,2019-11-21 13:05:00,50.45487328
158,1574370600,2019-11-21 13:10:00,50.56241443
159,1574370900,2019-11-21 13:15:00,50.4
160,1574371200,2019-11-21 13:20:00,50.499999
161,1574371500,2019-11-21 13:25:00,50.499999
162,1574371800,2019-11-21 13:30:00,50.499999
163,1574372100,2019-11-21 13:35:00,50.5977937
164,1574372400,2019-11-21 13:40:00,50.5977937
165,1574372700,2019-11-21 13:45:00,50.5977937
166,1574373000,2019-11-21 13:50:00,50.68996825
167,1574373300,2019-11-21 13:55:00,50.55
168,1574373600,2019-11-21 14:00:00,50.55
169,1574373900,2019-11-21 14:05:00,50.41
170,1574374200,2019-11-21 14:10:00,50.48688424
171,1574374500,2019-11-21 14:15:00,50.48688424
172,1574374800,2019-11-21 14:20:00,50.58
173,1574375100,2019-11-21 14:25:00,50.58
174,1574375400,2019-11-21 14:30:00,50.58
175,1574375700,2019-11-21 14:35:00,50.71309904
176,1574376000,2019-11-21 14:40:00,50.71309904
177,1574376300,2019-11-21 14:45:00,50.61
178,1574376600,2019-11-21 14:50:00,50.61
179,1574376900,2019-11-21 14:55:00,50.6100506
180,1574377200,2019-11-21 15:00:00,50.6100506
181,1574377500,2019-11-21 15:05:00,50.6100506
182,1574377800,2019-11-21 15:10:00,50.6100506
183,1574378100,2019-11-21 15:15:00,50.84418398
184,1574378400,2019-11-21 15:20:00,50.53464811
185,1574378700,2019-11-21 15:25:00,50.48996175
186,1574379000,2019-11-21 15:30:00,50.48
187,1574379300,2019-11-21 15:35:00,50.48
188,1574379600,2019-11-21 15:40:00,50.72635531
189,1574379900,2019-11-21 15:45:00,50.72635531
190,1574380200,2019-11-21 15:50:00,50.72635531
191,1574380500,2019-11-21 15:55:00,50.72635531
192,1574380800,2019-11-21 16:00:00,50.72635531
193,1574381100,2019-11-21 16:05:00,50.72635531
194,1574381400,2019-11-21 16:10:00,50.72635531
195,1574381700,2019-11-21 16:15:00,50.77725499
196,1574382000,2019-11-21 16:20:00,50.67524319
197,1574382300,2019-11-21 16:25:00,50.67524319
198,1574382600,2019-11-21 16:30:00,50.67524319
199,1574382900,2019-11-21 16:35:00,50.67524319
200,1574383200,2019-11-21 16:40:00,50.91374063
201,1574383500,2019-11-21 16:45:00,50.913741
202,1574383800,2019-11-21 16:50:00,50.913741
203,1574384100,2019-11-21 16:55:00,51.12793212
204,1574384400,2019-11-21 17:00:00,51.0
205,1574384700,2019-11-21 17:05:00,51.00075505
206,1574385000,2019-11-21 17:10:00,51.00075505
207,1574385300,2019-11-21 17:15:00,51.10075505
208,1574385600,2019-11-21 17:20:00,51.10460267
209,1574385900,2019-11-21 17:25:00,51.05000007
210,1574386200,2019-11-21 17:30:00,51.05000007
211,1574386500,2019-11-21 17:35:00,50.95595251
212,1574386800,2019-11-21 17:40:00,50.88597997
213,1574387100,2019-11-21 17:45:00,50.95
214,1574387400,2019-11-21 17:50:00,50.89
215,1574387700,2019-11-21 17:55:00,50.89
216,1574388000,2019-11-21 18:00:00,50.9517398
217,1574388300,2019-11-21 18:05:00,50.9517398
218,1574388600,2019-11-21 18:10:00,50.9517398
219,1574388900,2019-11-21 18:15:00,50.9517398
220,1574389200,2019-11-21 18:20:00,50.9517398
221,1574389500,2019-11-21 18:25:00,50.95
222,1574389800,2019-11-21 18:30:00,50.95
223,1574390100,2019-11-21 18:35:00,50.95
224,1574390400,2019-11-21 18:40:00,50.95
225,1574390700,2019-11-21 18:45:00,50.86
226,1574391000,2019-11-21 18:50:00,50.73251703
227,1574391300,2019-11-21 18:55:00,50.73251703
228,1574391600,2019-11-21 19:00:00,50.64429486
229,1574391900,2019-11-21 19:05:00,50.78985108
230,1574392200,2019-11-21 19:10:00,50.78985108
231,1574392500,2019-11-21 19:15:00,50.78985108
232,1574392800,2019-11-21 19:20:00,50.71
233,1574393100,2019-11-21 19:25:00,50.66891432
234,1574393400,2019-11-21 19:30:00,50.41963385
235,1574393700,2019-11-21 19:35:00,50.41963386
236,1574394000,2019-11-21 19:40:00,50.41963386
237,1574394300,2019-11-21 19:45:00,50.59856033
