,date,price
222,1574389800,162.01762799
223,1574390100,162.01347511
224,1574390400,161.8076
225,1574390700,161.83999998
226,1574391000,161.46964471
227,1574391300,161.52
228,1574391600,161.75
229,1574391900,161.6
230,1574392200,161.5372
231,1574392500,161.38834076
232,1574392800,160.99224657
233,1574393100,160.85238648
234,1574393400,160.5698
235,1574393700,160.6155
236,1574394000,160.88377983
237,1574394300,160.7993
238,1574394600,160.54989993
239,1574394900,160.19896281
240,1574395200,160.41659991
241,1574395500,160.56850224
242,1574395800,160.49911478
243,1574396100,160.64045873
244,1574396400,160.66058672
245,1574396700,160.68981558
246,1574397000,160.913
247,1574397300,161.07450797
248,1574397600,160.39659974
249,1574397900,160.19870595
250,1574398200,160.26056759
251,1574398500,160.45434191
252,1574398800,160.4668785
253,1574399100,160.4304
254,1574399400,160.50404943
255,1574399700,160.24159999
256,1574400000,160.19812358
257,1574400300,160.15730001
258,1574400600,159.97297888
259,1574400900,159.54199997
260,1574401200,159.7046
261,1574401500,159.57548873
262,1574401800,158.99999995
263,1574402100,159.236
264,1574402400,159.57644565
265,1574402700,159.29517213
266,1574403000,159.06482789
267,1574403300,159.11710002
268,1574403600,158.9043
269,1574403900,158.59841053
270,1574404200,157.62229999
271,1574404500,158.27439999
272,1574404800,157.75843718
273,1574405100,156.55826559
274,1574405400,155.23605234
275,1574405700,155.02384974
276,1574406000,154.0
277,1574406300,155.6704
278,1574406600,155.357
279,1574406900,154.6539
280,1574407200,154.52440001
281,1574407500,155.997
282,1574407800,155.53031391
283,1574408100,156.5535
284,1574408400,157.2755
285,1574408700,156.91020002
286,1574409000,158.20167085
287,1574409300,157.79728391
288,1574409600,159.46890964
289,1574409900,159.33579997
290,1574410200,158.665
291,1574410500,158.3659
292,1574410800,158.5318
293,1574411100,158.44460001
294,1574411400,158.79789445
295,1574411700,158.78410005
296,1574412000,158.83262711
297,1574412300,159.62618401
298,1574412600,158.41223296
299,1574412900,157.67199999
300,1574413200,155.69998443
301,1574413500,154.85570002
302,1574413800,154.6473
303,1574414100,153.63470001
304,1574414400,153.34983247
305,1574414700,154.9581
306,1574415000,155.03019999
307,1574415300,154.993
308,1574415600,155.2732
309,1574415900,154.19465065
310,1574416200,154.4665
311,1574416500,155.1834
312,1574416800,150.92
313,1574417100,153.0
314,1574417400,151.6803257
315,1574417700,151.091488
316,1574418000,150.91100035
317,1574418300,151.37817232
318,1574418600,149.0
319,1574418900,147.13726892
320,1574419200,146.579794
321,1574419500,147.25629314
322,1574419800,147.6593266
323,1574420100,147.66222
324,1574420400,149.43294896
325,1574420700,148.61543748
326,1574421000,149.29001302
327,1574421300,149.6
328,1574421600,150.25932908
329,1574421900,149.24833506
330,1574422200,149.19799901
331,1574422500,149.71200022
332,1574422800,149.06482028
333,1574423100,148.29128104
334,1574423400,148.90100029
335,1574423700,148.85000001
336,1574424000,149.48532074
337,1574424300,148.73760315
338,1574424600,148.8
339,1574424900,148.31499981
340,1574425200,148.9
341,1574425500,149.285303
342,1574425800,149.40879795
343,1574426100,149.8107724
344,1574426400,149.38204417
345,1574426700,149.36204419
346,1574427000,149.62084755
347,1574427300,149.92937317
348,1574427600,148.74760316
349,1574427900,149.05140817
350,1574428200,148.26331528
351,1574428500,147.42592545
352,1574428800,147.53246118
353,1574429100,147.60569705
354,1574429400,147.1211022
355,1574429700,145.02441155
356,1574430000,145.80076957
357,1574430300,145.71070745
358,1574430600,144.60000004
359,1574430900,144.704122
360,1574431200,142.0
361,1574431500,139.75982001
362,1574431800,141.421863
363,1574432100,143.52000001
364,1574432400,142.9752517
365,1574432700,141.35
366,1574433000,142.96427115
367,1574433300,141.2044313
368,1574433600,142.3510491
369,1574433900,143.323091
370,1574434200,143.600517
371,1574434500,144.65706184
372,1574434800,145.75943127
373,1574435100,146.65000009
374,1574435400,146.13122362
375,1574435700,146.34964033
376,1574436000,145.48999993
377,1574436300,145.9726094
378,1574436600,146.81999996
379,1574436900,146.83000007
380,1574437200,147.42865375
381,1574437500,146.7464797
382,1574437800,147.18000042
383,1574438100,147.985549
384,1574438400,149.4192703
385,1574438700,149.23718057
386,1574439000,148.765122
387,1574439300,148.58926137
388,1574439600,149.81541967
389,1574439900,149.20736272
390,1574440200,148.27657146
391,1574440500,146.62813184
392,1574440800,147.90090907
393,1574441100,146.99804726
394,1574441400,147.212
395,1574441700,147.28000031
396,1574442000,147.28000031
397,1574442300,148.73760315
398,1574442600,148.91568537
399,1574442900,148.08168217
400,1574443200,148.23664
401,1574443500,148.19284797
402,1574443800,147.78999968
403,1574444100,148.08897667
404,1574444400,147.70543058
405,1574444700,147.39914232
406,1574445000,148.08168217
407,1574445300,148.37371341
408,1574445600,148.12739656
409,1574445900,148.18999967
410,1574446200,148.15299605
411,1574446500,148.01
412,1574446800,148.01827529
413,1574447100,148.19614498
414,1574447400,148.45893858
415,1574447700,148.17506917
416,1574448000,148.4442246
417,1574448300,148.69926589
418,1574448600,149.00548021
419,1574448900,150.13515318
420,1574449200,150.38742835
421,1574449500,150.41375102
422,1574449800,150.83707053
423,1574450100,152.6
424,1574450400,151.12070768
425,1574450700,150.84426767
426,1574451000,150.68104515
427,1574451300,150.45999998
428,1574451600,151.536698
429,1574451900,151.67316878
430,1574452200,152.47749668
431,1574452500,152.48853734
432,1574452800,151.88708598
433,1574453100,151.97671328
434,1574453400,153.0
435,1574453700,153.68974982
436,1574454000,153.91983876
437,1574454300,154.14455852
438,1574454600,153.3
439,1574454900,152.75539467
440,1574455200,153.25646649
441,1574455500,153.04149775
442,1574455800,153.26707329
443,1574456100,152.48200548
444,1574456400,152.85094287
445,1574456700,151.99230791
446,1574457000,152.73459425
447,1574457300,152.8661993
448,1574457600,153.23670326
449,1574457900,152.68151412
450,1574458200,152.86400011
451,1574458500,153.124595
452,1574458800,153.27157985
453,1574459100,153.00801844
454,1574459400,152.56350152
455,1574459700,152.72
456,1574460000,152.41
457,1574460300,152.5761
458,1574460600,152.93293496
459,1574460900,152.47455347
460,1574461200,152.86807012
461,1574461500,152.83743874
462,1574461800,152.83743874
463,1574462100,152.06571976
464,1574462400,150.0239958
465,1574462700,150.05817409
466,1574463000,150.32392054
467,1574463300,149.19992665
468,1574463600,149.00660636
469,1574463900,148.50245461
470,1574464200,148.48675061
471,1574464500,148.73220916
472,1574464800,149.0
473,1574465100,149.19827031
474,1574465400,149.59071467
475,1574465700,149.72813992
476,1574466000,149.32999981
477,1574466300,149.87561879
478,1574466600,150.05635452
479,1574466900,149.58245085
480,1574467200,149.41642952
481,1574467500,148.81760324
482,1574467800,148.25737706
483,1574468100,147.84720238
484,1574468400,147.35000127
485,1574468700,147.21535936
486,1574469000,146.55190038
487,1574469300,146.71456113
488,1574469600,146.26156662
489,1574469900,146.82046921
490,1574470200,147.40942895
491,1574470500,148.29939414
492,1574470800,147.15509578
493,1574471100,147.9355219
494,1574471400,147.93552199
495,1574471700,148.37417836
