,unix_date,datetime,DASH
0,1574323200,2019-11-21 00:00:00,63.26295798
1,1574323500,2019-11-21 00:05:00,63.26295798
2,1574323800,2019-11-21 00:10:00,63.26295798
3,1574324100,2019-11-21 00:15:00,63.26295798
4,1574324400,2019-11-21 00:20:00,63.25682812
5,1574324700,2019-11-21 00:25:00,63.09
6,1574325000,2019-11-21 00:30:00,63.12920805
7,1574325300,2019-11-21 00:35:00,63.12920805
8,1574325600,2019-11-21 00:40:00,62.8
9,1574325900,2019-11-21 00:45:00,62.43206667
10,1574326200,2019-11-21 00:50:00,62.21594341
11,1574326500,2019-11-21 00:55:00,62.33138
12,1574326800,2019-11-21 01:00:00,62.52
13,1574327100,2019-11-21 01:05:00,62.52
14,1574327400,2019-11-21 01:10:00,62.52
15,1574327700,2019-11-21 01:15:00,62.52
16,1574328000,2019-11-21 01:20:00,62.52
17,1574328300,2019-11-21 01:25:00,62.52
18,1574328600,2019-11-21 01:30:00,62.52
19,1574328900,2019-11-21 01:35:00,62.52
20,1574329200,2019-11-21 01:40:00,62.52
21,1574329500,2019-11-21 01:45:00,62.52
22,1574329800,2019-11-21 01:50:00,62.52
23,1574330100,2019-11-21 01:55:00,62.52
24,1574330400,2019-11-21 02:00:00,62.52
25,1574330700,2019-11-21 02:05:00,62.0
26,1574331000,2019-11-21 02:10:00,62.0
27,1574331300,2019-11-21 02:15:00,62.0
28,1574331600,2019-11-21 02:20:00,62.0
29,1574331900,2019-11-21 02:25:00,62.0
30,1574332200,2019-11-21 02:30:00,62.0
31,1574332500,2019-11-21 02:35:00,62.0
32,1574332800,2019-11-21 02:40:00,62.0
33,1574333100,2019-11-21 02:45:00,62.0
34,1574333400,2019-11-21 02:50:00,62.0
35,1574333700,2019-11-21 02:55:00,62.0
36,1574334000,2019-11-21 03:00:00,62.0
37,1574334300,2019-11-21 03:05:00,62.0
38,1574334600,2019-11-21 03:10:00,62.0
39,1574334900,2019-11-21 03:15:00,61.93512367
40,1574335200,2019-11-21 03:20:00,61.93512367
41,1574335500,2019-11-21 03:25:00,61.93512367
42,1574335800,2019-11-21 03:30:00,61.93512367
43,1574336100,2019-11-21 03:35:00,61.93512367
44,1574336400,2019-11-21 03:40:00,61.69808694
45,1574336700,2019-11-21 03:45:00,61.69808694
46,1574337000,2019-11-21 03:50:00,61.69808694
47,1574337300,2019-11-21 03:55:00,61.69808694
48,1574337600,2019-11-21 04:00:00,61.69808694
49,1574337900,2019-11-21 04:05:00,61.69808694
50,1574338200,2019-11-21 04:10:00,61.69808694
51,1574338500,2019-11-21 04:15:00,61.69808694
52,1574338800,2019-11-21 04:20:00,61.69808694
53,1574339100,2019-11-21 04:25:00,61.69808694
54,1574339400,2019-11-21 04:30:00,61.69808694
55,1574339700,2019-11-21 04:35:00,61.69808694
56,1574340000,2019-11-21 04:40:00,61.69808694
57,1574340300,2019-11-21 04:45:00,61.69808694
58,1574340600,2019-11-21 04:50:00,61.69808694
59,1574340900,2019-11-21 04:55:00,61.98671995
60,1574341200,2019-11-21 05:00:00,61.98671995
61,1574341500,2019-11-21 05:05:00,61.98671995
62,1574341800,2019-11-21 05:10:00,61.98671995
63,1574342100,2019-11-21 05:15:00,61.98671995
64,1574342400,2019-11-21 05:20:00,61.98671995
65,1574342700,2019-11-21 05:25:00,61.98671995
66,1574343000,2019-11-21 05:30:00,61.98671995
67,1574343300,2019-11-21 05:35:00,61.98671995
68,1574343600,2019-11-21 05:40:00,61.98671995
69,1574343900,2019-11-21 05:45:00,61.98671995
70,1574344200,2019-11-21 05:50:00,61.98671995
71,1574344500,2019-11-21 05:55:00,61.98671995
72,1574344800,2019-11-21 06:00:00,61.98671995
73,1574345100,2019-11-21 06:05:00,61.98671995
74,1574345400,2019-11-21 06:10:00,61.98671995
75,1574345700,2019-11-21 06:15:00,61.98671995
76,1574346000,2019-11-21 06:20:00,62.0
77,1574346300,2019-11-21 06:25:00,62.0
78,1574346600,2019-11-21 06:30:00,62.0
79,1574346900,2019-11-21 06:35:00,62.0
80,1574347200,2019-11-21 06:40:00,62.0
