,unix_date,datetime,ETH
0,1574323200,2019-11-21 00:00:00,174.60420003
1,1574323500,2019-11-21 00:05:00,174.73400005
2,1574323800,2019-11-21 00:10:00,174.73400005
3,1574324100,2019-11-21 00:15:00,174.68552797
4,1574324400,2019-11-21 00:20:00,174.29143524
5,1574324700,2019-11-21 00:25:00,173.8981
6,1574325000,2019-11-21 00:30:00,174.17093349
7,1574325300,2019-11-21 00:35:00,174.03039998
8,1574325600,2019-11-21 00:40:00,173.4878566
9,1574325900,2019-11-21 00:45:00,172.0383
10,1574326200,2019-11-21 00:50:00,171.9302
11,1574326500,2019-11-21 00:55:00,172.0768
12,1574326800,2019-11-21 01:00:00,172.3084
13,1574327100,2019-11-21 01:05:00,172.26269999
14,1574327400,2019-11-21 01:10:00,172.50868257
15,1574327700,2019-11-21 01:15:00,172.0904373
16,1574328000,2019-11-21 01:20:00,172.1147
17,1574328300,2019-11-21 01:25:00,172.1754
18,1574328600,2019-11-21 01:30:00,172.3708
19,1574328900,2019-11-21 01:35:00,172.06380002
20,1574329200,2019-11-21 01:40:00,171.8262
21,1574329500,2019-11-21 01:45:00,172.26132372
22,1574329800,2019-11-21 01:50:00,172.04930703
23,1574330100,2019-11-21 01:55:00,171.67760002
24,1574330400,2019-11-21 02:00:00,171.48879042
25,1574330700,2019-11-21 02:05:00,171.0672
26,1574331000,2019-11-21 02:10:00,171.13461778
27,1574331300,2019-11-21 02:15:00,171.43426893
28,1574331600,2019-11-21 02:20:00,171.52687672
29,1574331900,2019-11-21 02:25:00,171.39889989
30,1574332200,2019-11-21 02:30:00,171.1901
31,1574332500,2019-11-21 02:35:00,171.29215968
32,1574332800,2019-11-21 02:40:00,171.39259995
33,1574333100,2019-11-21 02:45:00,171.31160152
34,1574333400,2019-11-21 02:50:00,171.2186
35,1574333700,2019-11-21 02:55:00,171.28292809
36,1574334000,2019-11-21 03:00:00,170.97189408
37,1574334300,2019-11-21 03:05:00,170.0
38,1574334600,2019-11-21 03:10:00,167.342
39,1574334900,2019-11-21 03:15:00,168.3216
40,1574335200,2019-11-21 03:20:00,168.36779998
41,1574335500,2019-11-21 03:25:00,168.76128863
42,1574335800,2019-11-21 03:30:00,168.63278348
43,1574336100,2019-11-21 03:35:00,168.64000011
44,1574336400,2019-11-21 03:40:00,168.99409999
45,1574336700,2019-11-21 03:45:00,168.5
46,1574337000,2019-11-21 03:50:00,168.34299997
47,1574337300,2019-11-21 03:55:00,168.2631
48,1574337600,2019-11-21 04:00:00,168.83975783
49,1574337900,2019-11-21 04:05:00,168.686
50,1574338200,2019-11-21 04:10:00,168.56670001
51,1574338500,2019-11-21 04:15:00,168.61470002
52,1574338800,2019-11-21 04:20:00,168.67721375
53,1574339100,2019-11-21 04:25:00,168.2654
54,1574339400,2019-11-21 04:30:00,168.65159998
55,1574339700,2019-11-21 04:35:00,168.67930001
56,1574340000,2019-11-21 04:40:00,168.75719878
57,1574340300,2019-11-21 04:45:00,168.7651
58,1574340600,2019-11-21 04:50:00,168.76127649
59,1574340900,2019-11-21 04:55:00,169.4272999
60,1574341200,2019-11-21 05:00:00,168.97828444
61,1574341500,2019-11-21 05:05:00,169.09752798
62,1574341800,2019-11-21 05:10:00,169.12055586
63,1574342100,2019-11-21 05:15:00,169.19714996
64,1574342400,2019-11-21 05:20:00,168.8785
65,1574342700,2019-11-21 05:25:00,169.0
66,1574343000,2019-11-21 05:30:00,169.05629998
67,1574343300,2019-11-21 05:35:00,169.1414
68,1574343600,2019-11-21 05:40:00,169.07629997
69,1574343900,2019-11-21 05:45:00,169.00718399
70,1574344200,2019-11-21 05:50:00,168.7166
71,1574344500,2019-11-21 05:55:00,168.6581
72,1574344800,2019-11-21 06:00:00,168.73949143
73,1574345100,2019-11-21 06:05:00,168.84205934
74,1574345400,2019-11-21 06:10:00,168.7497021
75,1574345700,2019-11-21 06:15:00,168.71290441
76,1574346000,2019-11-21 06:20:00,167.93746246
77,1574346300,2019-11-21 06:25:00,168.10376589
78,1574346600,2019-11-21 06:30:00,166.9832
79,1574346900,2019-11-21 06:35:00,166.95049996
80,1574347200,2019-11-21 06:40:00,166.1976
81,1574347500,2019-11-21 06:45:00,166.42500003
82,1574347800,2019-11-21 06:50:00,166.29421963
83,1574348100,2019-11-21 06:55:00,165.1718
84,1574348400,2019-11-21 07:00:00,157.8184
85,1574348700,2019-11-21 07:05:00,161.5773
86,1574349000,2019-11-21 07:10:00,161.19502472
87,1574349300,2019-11-21 07:15:00,160.4721
88,1574349600,2019-11-21 07:20:00,161.6437
89,1574349900,2019-11-21 07:25:00,161.8288
90,1574350200,2019-11-21 07:30:00,161.966
91,1574350500,2019-11-21 07:35:00,161.7879
92,1574350800,2019-11-21 07:40:00,161.96749999
93,1574351100,2019-11-21 07:45:00,161.85208584
94,1574351400,2019-11-21 07:50:00,161.2076
95,1574351700,2019-11-21 07:55:00,161.38000001
96,1574352000,2019-11-21 08:00:00,161.5
97,1574352300,2019-11-21 08:05:00,161.88554363
98,1574352600,2019-11-21 08:10:00,161.92829989
99,1574352900,2019-11-21 08:15:00,161.98426744
100,1574353200,2019-11-21 08:20:00,161.5105709
101,1574353500,2019-11-21 08:25:00,161.05796448
102,1574353800,2019-11-21 08:30:00,161.20949998
103,1574354100,2019-11-21 08:35:00,160.6731
104,1574354400,2019-11-21 08:40:00,160.532
105,1574354700,2019-11-21 08:45:00,160.92599998
106,1574355000,2019-11-21 08:50:00,160.69583334
107,1574355300,2019-11-21 08:55:00,160.5894
108,1574355600,2019-11-21 09:00:00,160.57319997
109,1574355900,2019-11-21 09:05:00,160.17997482
110,1574356200,2019-11-21 09:10:00,159.94159991
111,1574356500,2019-11-21 09:15:00,160.10980001
112,1574356800,2019-11-21 09:20:00,160.19
113,1574357100,2019-11-21 09:25:00,160.26499999
114,1574357400,2019-11-21 09:30:00,159.94649751
115,1574357700,2019-11-21 09:35:00,159.80148605
116,1574358000,2019-11-21 09:40:00,159.09387951
117,1574358300,2019-11-21 09:45:00,159.49969272
118,1574358600,2019-11-21 09:50:00,159.091
119,1574358900,2019-11-21 09:55:00,158.73160001
120,1574359200,2019-11-21 10:00:00,158.37930001
121,1574359500,2019-11-21 10:05:00,158.76317025
122,1574359800,2019-11-21 10:10:00,158.85
123,1574360100,2019-11-21 10:15:00,158.91976512
124,1574360400,2019-11-21 10:20:00,158.7406901
125,1574360700,2019-11-21 10:25:00,158.50460001
126,1574361000,2019-11-21 10:30:00,158.505
127,1574361300,2019-11-21 10:35:00,158.67
128,1574361600,2019-11-21 10:40:00,158.6495
129,1574361900,2019-11-21 10:45:00,158.6633
130,1574362200,2019-11-21 10:50:00,158.6
131,1574362500,2019-11-21 10:55:00,158.77999999
132,1574362800,2019-11-21 11:00:00,158.75998345
133,1574363100,2019-11-21 11:05:00,158.75998226
134,1574363400,2019-11-21 11:10:00,158.62
135,1574363700,2019-11-21 11:15:00,159.01178871
136,1574364000,2019-11-21 11:20:00,159.2393
137,1574364300,2019-11-21 11:25:00,159.3016
138,1574364600,2019-11-21 11:30:00,159.35
139,1574364900,2019-11-21 11:35:00,159.5796
140,1574365200,2019-11-21 11:40:00,159.77769957
141,1574365500,2019-11-21 11:45:00,160.04402153
142,1574365800,2019-11-21 11:50:00,160.22277713
143,1574366100,2019-11-21 11:55:00,160.38205266
144,1574366400,2019-11-21 12:00:00,160.25106587
145,1574366700,2019-11-21 12:05:00,160.6074
146,1574367000,2019-11-21 12:10:00,160.53797208
147,1574367300,2019-11-21 12:15:00,160.69830001
148,1574367600,2019-11-21 12:20:00,160.76994584
149,1574367900,2019-11-21 12:25:00,160.25
150,1574368200,2019-11-21 12:30:00,160.179
151,1574368500,2019-11-21 12:35:00,159.53618892
152,1574368800,2019-11-21 12:40:00,158.88159998
153,1574369100,2019-11-21 12:45:00,158.7746
154,1574369400,2019-11-21 12:50:00,158.74120007
155,1574369700,2019-11-21 12:55:00,159.0314
156,1574370000,2019-11-21 13:00:00,159.62278578
157,1574370300,2019-11-21 13:05:00,159.31
158,1574370600,2019-11-21 13:10:00,159.2
159,1574370900,2019-11-21 13:15:00,159.01879989
160,1574371200,2019-11-21 13:20:00,159.01100332
161,1574371500,2019-11-21 13:25:00,159.19589308
162,1574371800,2019-11-21 13:30:00,159.723633
163,1574372100,2019-11-21 13:35:00,159.91956299
164,1574372400,2019-11-21 13:40:00,159.85
165,1574372700,2019-11-21 13:45:00,159.87943656
166,1574373000,2019-11-21 13:50:00,159.86631838
167,1574373300,2019-11-21 13:55:00,159.57784316
168,1574373600,2019-11-21 14:00:00,159.5595
169,1574373900,2019-11-21 14:05:00,159.74972435
170,1574374200,2019-11-21 14:10:00,159.9101413
171,1574374500,2019-11-21 14:15:00,160.3084
172,1574374800,2019-11-21 14:20:00,160.7157
173,1574375100,2019-11-21 14:25:00,160.426
174,1574375400,2019-11-21 14:30:00,160.426
175,1574375700,2019-11-21 14:35:00,160.78104143
176,1574376000,2019-11-21 14:40:00,160.79546552
177,1574376300,2019-11-21 14:45:00,160.79546551
178,1574376600,2019-11-21 14:50:00,160.62412698
179,1574376900,2019-11-21 14:55:00,160.65000001
180,1574377200,2019-11-21 15:00:00,160.98442009
181,1574377500,2019-11-21 15:05:00,160.94179999
182,1574377800,2019-11-21 15:10:00,161.0
183,1574378100,2019-11-21 15:15:00,161.03956528
184,1574378400,2019-11-21 15:20:00,160.41795001
185,1574378700,2019-11-21 15:25:00,160.5365
186,1574379000,2019-11-21 15:30:00,160.93441821
187,1574379300,2019-11-21 15:35:00,160.92995645
